gene	sim_score
ASAH1	2.5436
PIGA	2.5436
PIK3CD	2.5371
MMUT	2.532
SMPD1	2.532
TBX1	2.532
THPO	2.532
CLPB	2.532
GATA1	2.5273
SLC4A1	2.5181
EPOR	2.515
PIK3CA	2.5065
ALG8	2.5003
LMNA	2.4924
ORAI1	2.4878
MYD88	2.4853
HLA-DPB1	2.4852
ACP5	2.4846
TGFBR1	2.4821
LPIN2	2.4789
RHAG	2.4743
STEAP3	2.4743
POT1	2.4741
FLI1	2.4706
FGF23	2.469
MEFV	2.4673
HBA1	2.4627
HBA2	2.4627
FH	2.4607
EIF2AK4	2.4451
SDHA	2.4424
HAVCR2	2.4352
HPGD	2.4281
HLA-DPA1	2.4219
PRTN3	2.4219
BMPR1A	2.4179
SDHB	2.4179
SDHC	2.4179
ARVCF	2.4173
COMT	2.4173
RREB1	2.4173
HIRA	2.4173
UFD1	2.4173
SEC24C	2.4173
JMJD1C	2.4173
TCF4	2.4035
PLEC	2.4013
KCNJ5	2.3995
ERBB3	2.3989
ATM	2.3918
ABCA1	2.3864
UBA1	2.3853
AGK	2.384
EPB42	2.3797
SF3B1	2.3748
ABCG8	2.3748
KIF23	2.3741
EPB41	2.3734
GYPC	2.3734
PHKA2	2.3734
PHKB	2.3734
PHKG2	2.3734
SPTA1	2.3734
SPTB	2.3734
PIEZO1	2.3734
LZTR1	2.3698
VHL	2.3646
GPR35	2.3643
MST1	2.3643
SEMA4D	2.3643
AEBP1	2.3641
FRYL	2.3603
CTNNB1	2.3601
POLD1	2.3601
SDHD	2.3601
PSMB4	2.3597
CCR1	2.3527
IL12A	2.3527
TLR4	2.3527
KLRC4	2.3527
ERAP1	2.3527
IL23R	2.3527
UBAC2	2.3527
IL12A-AS1	2.3527
PDGFRA	2.3493
CD55	2.348
COL1A1	2.3444
MEN1	2.3444
NF1	2.3444
TXNRD2	2.3403
MDM4	2.3369
NFKB2	2.3361
APOE	2.3343
IGH	2.3342
CYP27B1	2.3342
TNFRSF11A	2.3342
CYP2R1	2.3342
ATP7A	2.3277
MALT1	2.326
TREM2	2.3239
MECOM	2.3229
ACAD9	2.314
RAD51	2.3103
SLCO2A1	2.31
RRM2B	2.3093
ENG	2.3064
TGFBR2	2.3053
AIP	2.3032
KCNQ1	2.3025
POLG	2.3025
STING1	2.2932
SLC25A13	2.2916
FARS2	2.291
DPP9	2.2905
TCF3	2.2904
BIRC3	2.2869
BCL10	2.2869
FOXP1	2.2869
ABCC6	2.2858
DGUOK	2.2842
STN1	2.2839
HNF4A	2.2837
EPAS1	2.281
LACC1	2.2651
MSH6	2.2641
EPCAM	2.2641
MLH1	2.2641
MSH2	2.2641
MUTYH	2.2641
NPAT	2.2641
PMS1	2.2641
PMS2	2.2641
CHEK2	2.2641
SEMA4A	2.2641
SLC12A3	2.2627
ATP8B1	2.2559
ARMC5	2.2447
ABCG5	2.2417
TFR2	2.2413
RACGAP1	2.2402
OTULIN	2.2369
CD81	2.2284
GCK	2.2269
IVD	2.2237
FLT1	2.2201
CORIN	2.2201
STOX1	2.2201
COL5A1	2.2196
DNMT3A	2.2196
RET	2.2196
F5	2.2167
PIK3R1	2.2149
NKX2-6	2.2114
HLA-DQB1	2.2075
GNA14	2.2026
HPS6	2.2025
CD247	2.2023
IL2RA	2.2023
IL2RB	2.2023
PTPN2	2.2023
IFT140	2.2023
KLF1	2.2023
ANKRD55	2.2023
ERCC2	2.2012
ERCC3	2.2012
GLA	2.2012
HLA-DQA1	2.1988
PRDM16	2.1983
POMP	2.1977
STAT6	2.1974
TNFRSF1A	2.1954
SAT1	2.1943
PTEN	2.1907
RBCK1	2.1907
ALMS1	2.1882
TSC1	2.1872
TSC2	2.1872
IVNS1ABP	2.1872
SLC40A1	2.1845
PGM1	2.1832
TNNI3	2.1832
TNNT2	2.1832
MYPN	2.1832
DLST	2.1805
MAX	2.1805
MDH2	2.1805
SLC25A11	2.1805
SDHAF2	2.1805
TMEM127	2.1805
COL1A2	2.1758
SIN3A	2.1758
RIN2	2.1758
CDH23	2.1758
BCL2	2.1757
BCL6	2.1757
ALAS2	2.1724
IDH1	2.1721
IDH2	2.1721
PTH1R	2.1721
NKX2-5	2.1701
GATA6	2.1701
SLC37A4	2.1693
GNB2	2.1632
IL12B	2.162
MLX	2.162
PIGT	2.162
ELF4	2.1596
IL18BP	2.1591
FARSA	2.1585
IFNG	2.1538
PRF1	2.1538
ACAT1	2.1504
DNM1L	2.1495
TAFAZZIN	2.1486
NAGS	2.144
STAT2	2.1428
TEK	2.1378
CYP7B1	2.1378
SBDS	2.1376
ACTA1	2.1366
NR3C1	2.1366
SLC7A7	2.1341
RBM8A	2.1341
IFIH1	2.1341
IL36RN	2.131
CRELD1	2.1297
COL3A1	2.1293
AGXT	2.1228
MTTP	2.1198
CD79A	2.1116
CD79B	2.1116
IGHM	2.1116
IGLL1	2.1116
SFTPC	2.1116
SPI1	2.1116
BLNK	2.1116
LRRC8A	2.1116
RNU4ATAC	2.0877
FKTN	2.0865
GATA4	2.0865
GJA5	2.0865
MYH7	2.0865
FIG4	2.0865
GATA5	2.0865
LMX1B	2.0837
AKT1	2.076
ABCC2	2.0698
MET	2.0698
MYBPC3	2.0698
ZFPM2	2.0682
MMADHC	2.0666
COL4A5	2.0641
COL5A2	2.0624
TNXB	2.0624
IL12RB1	2.0577
POU2AF1	2.0577
SPIB	2.0577
TRAF3	2.0577
TNFSF15	2.0577
TNPO3	2.0577
MMEL1	2.0577
ALDOA	2.0576
ANK1	2.0576
CASR	2.0576
HMBS	2.0576
CASK	2.0576
BCL11A	2.0576
NOD2	2.0576
NEK8	2.0576
IGHG2	2.0541
IGKC	2.0541
CFTR	2.0485
ABCC9	2.0474
WT1	2.0444
ALDOB	2.0443
FBN1	2.0443
LRP5	2.0443
BAP1	2.0443
MAN2B1	2.0438
DSP	2.0427
CITED2	2.0427
CARMIL2	2.0427
F8	2.0412
SCN1B	2.0386
AP1S3	2.0386
MYH9	2.0366
KCNJ2	2.0362
PITX2	2.0362
TTN	2.0362
LYST	2.0357
DOLK	2.034
ATP11A	2.034
IL21	2.034
GALC	2.0291
RNF168	2.0286
PHEX	2.0255
HOXA11	2.0244
SERPINF2	2.0232
ZEB2	2.019
SLC2A10	2.0186
LMOD2	2.0186
EXT2	2.0185
FN1	2.0185
NTRK1	2.0185
GPC3	2.0184
SYK	2.0184
RIPK1	2.0184
HMOX1	2.0158
HABP2	2.0149
ELN	2.0146
GNA11	2.0146
C1S	2.0119
PLAAT3	2.0118
TRIP13	2.0102
H19	2.0102
TBC1D24	2.0099
GALE	2.009
BSCL2	2.0043
ALB	2.0035
TLL1	2.0035
ADAR	2.001
CA2	2.001
IL6ST	2.001
COG1	2.001
RNU7-1	2.001
COQ2	2.0002
MTHFD1	1.9978
DBH	1.9937
KCNE1	1.9937
OPA1	1.9937
MUC5B	1.9936
SFTPA2	1.9936
GAA	1.993
CDKN1A	1.9895
CDKN1B	1.9895
CDKN2B	1.9895
CDKN2C	1.9895
PDGFB	1.9895
RASA1	1.9895
UROS	1.9894
TINF2	1.9894
CTC1	1.9894
SMARCB1	1.9874
SMARCE1	1.9874
ZFX	1.9874
EWSR1	1.9867
DIS3L2	1.9867
ATP5F1A	1.982
MT-ND1	1.982
MT-ND4	1.982
MT-ND5	1.982
MT-ND6	1.982
MT-TL1	1.982
MT-TS1	1.982
MT-TW	1.982
YARS2	1.982
SP110	1.9739
HADHB	1.9727
REST	1.9711
CTR9	1.9711
TRIM28	1.9711
POU6F2	1.9711
APC	1.9693
ATPAF2	1.9679
GCDH	1.9613
CEL	1.9549
TYMP	1.9543
LIG3	1.9543
UNC45A	1.9543
FARSB	1.9524
SERPINA6	1.9499
SPINK5	1.9496
DNAJC19	1.9496
CLCNKB	1.9469
MT-CO1	1.9469
MT-CO3	1.9469
PAX2	1.9469
STK11	1.9449
CTNS	1.9429
MPV17	1.9429
TRPV6	1.9429
PNPLA2	1.9429
ALG9	1.9429
NCF1	1.9429
MT-TN	1.9429
SURF1	1.9429
HGD	1.9298
ACTC1	1.9293
NPPA	1.9293
SCN5A	1.9293
HPS1	1.9265
MYH11	1.9262
DSE	1.9262
SCN9A	1.9239
SCN10A	1.9239
SCN11A	1.9239
PALLD	1.9219
RABL3	1.9219
NOTCH3	1.9215
CNBP	1.9206
CEBPE	1.9177
FOXE1	1.9114
FLNC	1.9112
SCO2	1.9112
C1R	1.9038
SMO	1.9038
SREBF1	1.9038
TGFB3	1.9038
ZMPSTE24	1.9038
EFEMP2	1.9038
SUFU	1.9038
TRAF7	1.9038
IL1RN	1.9038
OTC	1.9038
NGLY1	1.9038
CAVIN1	1.9038
MT-CO2	1.9031
MT-TF	1.9031
MT-TH	1.9031
MT-TQ	1.9031
MT-TS2	1.9031
MYC	1.9022
FANCC	1.9008
CPOX	1.9004
G6PD	1.9004
HBG1	1.9004
HBG2	1.9004
DZIP1L	1.8984
TRMT5	1.8964
RB1	1.8951
CPT2	1.8871
PRKCSH	1.8871
SEC63	1.8871
RNASEH2A	1.8864
SAMHD1	1.8864
RNASEH2B	1.8864
RNASEH2C	1.8864
LSM11	1.8864
CPLX1	1.8859
MYH6	1.8855
PSEN1	1.8855
RPL3L	1.8855
VCL	1.8855
PPCS	1.8855
COL7A1	1.8854
COL17A1	1.8854
DNMT3B	1.8854
KRT5	1.8854
KRT14	1.8854
TYROBP	1.8813
LIPA	1.8799
TALDO1	1.8799
OSTM1	1.8799
G6PC3	1.8799
DMD	1.879
DSG2	1.879
KCNA5	1.879
KCNJ3	1.879
MYL4	1.879
PLN	1.879
SCN2B	1.879
SCN4B	1.879
TNNC1	1.879
NUP155	1.879
KCNE2	1.879
SCN3B	1.879
WFS1	1.8787
CRYAB	1.8767
TLR3	1.8767
UNC93B1	1.8767
TICAM1	1.8767
COL2A1	1.8766
MMP1	1.8766
VPS33B	1.8747
EDNRB	1.8713
WRN	1.8713
FDX2	1.8687
ARPC5	1.8683
PEX11B	1.8674
ACTA2	1.8646
DNM2	1.8646
FOXE3	1.8646
GNAQ	1.8646
LOX	1.8646
MAT2A	1.8646
MYLK	1.8646
NF2	1.8646
PRKG1	1.8646
TGFB2	1.8646
MFAP5	1.8646
HEY2	1.8646
THSD4	1.8646
ZNF469	1.8646
CAT	1.8613
GCSH	1.8607
MAPK1	1.86
CD28	1.8599
TNFRSF1B	1.8599
ZNFX1	1.8592
SOS1	1.8582
RRAS2	1.8582
FMO3	1.8565
DKC1	1.8563
LIG4	1.8563
TYMS	1.8563
KDM6A	1.8563
KMT2D	1.8563
FOCAD	1.8563
WRAP53	1.8563
NOP10	1.8563
NHP2	1.8563
USB1	1.8563
STXBP2	1.8558
UNC13D	1.8558
SAMD9	1.8551
TP63	1.8517
CISD2	1.8478
GP1BA	1.8444
VPS33A	1.8438
NR1H4	1.8424
FCGR2A	1.8408
IL7R	1.8408
RAG1	1.8408
RAG2	1.8408
RASGRP1	1.8408
B2M	1.8396
ACTN4	1.839
ALAD	1.8375
PCCA	1.8366
PCCB	1.8366
MMACHC	1.8366
LMBRD1	1.8366
ACTN2	1.8352
GET3	1.8352
DES	1.8352
FHL2	1.8352
LAMA4	1.8352
PSEN2	1.8352
SGCD	1.8352
TMPO	1.8352
TPM1	1.8352
VEZF1	1.8352
CSRP3	1.8352
TCAP	1.8352
TAF1A	1.8352
HAND2	1.8352
BAG5	1.8352
BAG3	1.8352
CAP2	1.8352
LDB3	1.8352
ANKRD1	1.8352
JPH2	1.8352
GATAD1	1.8352
NEXN	1.8352
RBM20	1.8352
CBLIF	1.8328
PEPD	1.8291
MT-CYB	1.8282
RASA2	1.8272
RIT1	1.8272
RRAS	1.8272
SOS2	1.8272
MRAS	1.8272
SPRED2	1.8272
SRP54	1.8246
EFL1	1.8246
DNAJC21	1.8246
APOB	1.8221
CYP4F22	1.8187
PROS1	1.8174
ATP6AP1	1.8171
RFX5	1.8171
FOXP3	1.8171
VCP	1.8166
SPINK1	1.8152
CTRC	1.8152
PFKM	1.8118
PPOX	1.8118
MADD	1.8105
FANCD2	1.8069
MARS1	1.8054
TTR	1.8024
TTC7A	1.8018
ACBD6	1.7958
ZAP70	1.7942
NAA10	1.7922
GALNT2	1.7899
GNPTAB	1.7877
DNASE1L3	1.7857
NCF4	1.7857
SAA1	1.7857
NLRP12	1.7857
PMM2	1.7847
FANCA	1.7797
FANCE	1.7797
PANK2	1.7795
TONSL	1.7707
FANCI	1.7677
COG4	1.7653
PRORP	1.762
COG6	1.7536
ANKRD11	1.7536
F12	1.7466
PRDM5	1.7466
AP3B1	1.7412
COPA	1.7378
CYSLTR2	1.7378
LRBA	1.7352
RFXAP	1.7352
SLC19A1	1.7352
TRNT1	1.7352
DOCK11	1.7352
FYB1	1.7297
NBEAL2	1.7297
MOGS	1.7292
ESCO2	1.7284
C1QB	1.7282
PTPN6	1.7282
PRKCD	1.7227
ATP6V1B2	1.7225
SKIC3	1.7225
PRIM1	1.722
RFWD3	1.722
LMNB2	1.7216
KIF11	1.7181
PPFIA3	1.7181
CDC73	1.7172
NOTCH1	1.7145
DLL4	1.7145
OCLN	1.7145
CYB5A	1.7139
FASLG	1.7111
CASP10	1.7111
STX11	1.7111
SUPT7L	1.7099
OTUD5	1.7099
TMEM165	1.7099
MAN2B2	1.7035
PROC	1.7028
BICD2	1.7028
FLNA	1.7025
PLOD3	1.7025
CPA1	1.6971
PRSS1	1.6971
PRSS2	1.6971
DIAPH1	1.6961
ADA	1.696
CD40LG	1.696
IRF8	1.696
IRF1	1.696
PNP	1.696
DCLRE1C	1.696
CDC42	1.6943
SC5D	1.6894
ACVR1	1.6888
TLR8	1.6886
SEC61A1	1.6878
ACD	1.6878
AMN	1.6873
TK2	1.6858
PUS1	1.6841
ABCD4	1.6841
RAP1B	1.6841
RECQL	1.6841
RPL26	1.6841
PHGDH	1.6841
NSUN2	1.6841
CACNA1S	1.6813
NEU1	1.6781
IKBKG	1.6781
ISCU	1.6756
KARS1	1.6753
OCRL	1.6753
KIF15	1.6753
COL14A1	1.675
AAGAB	1.675
RPS26	1.6738
LARS2	1.6738
ETV6	1.6722
ITGA2B	1.6722
PRKACG	1.6722
MRAP	1.672
GP9	1.6684
ARPC1B	1.6671
PRDX1	1.6643
TCN2	1.6643
RFXANK	1.6643
MMAA	1.6643
MMAB	1.6643
SLC29A3	1.6597
TMEM67	1.6597
ZNF699	1.6597
GFI1B	1.6581
DEF6	1.6569
RBPJ	1.6531
ARHGAP31	1.6531
DOCK6	1.6531
EOGT	1.6531
VIPAS39	1.6516
SCN4A	1.6504
VPS45	1.6495
LAT	1.6495
CUBN	1.6482
ERCC8	1.6481
ERCC6	1.6481
FANCB	1.6466
FANCF	1.6466
FANCG	1.6466
RAD51C	1.6466
UQCRFS1	1.6466
XRCC2	1.6466
MAD2L2	1.6466
UBE2T	1.6466
FANCL	1.6466
FANCM	1.6466
BRIP1	1.6466
SLX4	1.6466
HFE	1.643
NOTCH2	1.6429
INSR	1.6383
SCNN1A	1.6348
SCNN1B	1.6348
SCNN1G	1.6348
LCK	1.6347
LEMD3	1.6264
NBN	1.6245
SMARCAL1	1.6245
SPTBN1	1.6208
SQSTM1	1.6191
NEK1	1.618
GFI1	1.6135
PLCG2	1.6135
SRP19	1.6135
POLG2	1.6113
CAPN3	1.6048
LPIN1	1.6048
OBSCN	1.6048
CFAP410	1.6042
PLAU	1.6041
VWF	1.6041
SKIC2	1.6014
MC2R	1.5962
STAR	1.5962
NNT	1.5962
ABCD1	1.5936
ITGB4	1.5867
TBXAS1	1.578
TPP2	1.578
SOCS1	1.578
SAMD9L	1.578
DPAGT1	1.5772
PGK1	1.5707
ACTB	1.5694
NIPBL	1.5694
SALL4	1.5694
ALG12	1.5694
APOA1	1.5647
USP18	1.5647
ADH5	1.563
RPL5	1.563
RPL8	1.563
RPL9	1.563
RPL11	1.563
RPL15	1.563
RPL18	1.563
RPL27	1.563
RPL31	1.563
RPL35A	1.563
RPS7	1.563
RPS10	1.563
RPS15A	1.563
RPS17	1.563
RPS19	1.563
RPS24	1.563
RPS27	1.563
RPS28	1.563
RPS29	1.563
RPL35	1.563
HEATR3	1.563
TSR2	1.563
TMEM126B	1.5587
ITGB3	1.5575
PTPRJ	1.5575
TPM4	1.5575
FCGR2C	1.5575
HPS5	1.5575
SLFN14	1.5575
GPR101	1.5544
C1GALT1C1	1.5543
NHEJ1	1.5543
MYSM1	1.5543
SRC	1.5524
MGAT2	1.5505
POU1F1	1.5498
PROP1	1.5498
TSHB	1.5498
LHX3	1.5498
HESX1	1.5498
LHX4	1.5498
DHFR	1.5463
SASH3	1.5463
FGFR2	1.5451
GLB1	1.5451
PEX2	1.5451
ITCH	1.5451
DOCK2	1.5422
CYP11B1	1.5411
CDC42BPB	1.5411
HNRNPA1	1.5401
SMC5	1.5389
SLC2A1	1.5386
CYBC1	1.5386
TBXA2R	1.5384
GP6	1.5384
BLOC1S5	1.536
HPS3	1.536
HPS4	1.536
REL	1.5335
FUCA1	1.5334
MYL2	1.5333
ITK	1.5314
MPIG6B	1.5314
ASL	1.5305
YY1	1.5277
FAH	1.527
CTNNBL1	1.5266
RASGRP2	1.5266
P2RY12	1.5266
DTNBP1	1.5266
BLOC1S3	1.5266
THBS2	1.5261
LAMA3	1.5259
SARS2	1.5238
AP2S1	1.5233
NDE1	1.5202
ESAM	1.5202
ACADM	1.5196
SLC19A2	1.5164
SMARCD2	1.5151
SLC46A1	1.5151
HK1	1.515
RMRP	1.515
YARS1	1.515
NLRP1	1.515
CHD7	1.515
UBR1	1.515
NAF1	1.5139
POLRMT	1.5113
CAV1	1.5111
CTSK	1.5111
IDUA	1.5111
SOX10	1.5111
DDB2	1.51
ERCC5	1.51
TPM2	1.51
XPA	1.51
XPC	1.51
DPM1	1.5059
NAB2	1.5037
-	1.5018
FAM111A	1.5018
ADAMTSL2	1.5017
XYLT1	1.5017
RFT1	1.5017
GCLC	1.4995
RAC2	1.4995
NHLRC2	1.4995
CFHR1	1.4923
CFHR3	1.4923
RHCE	1.4921
RHD	1.4921
MAP2K2	1.486
ACVRL1	1.4855
GALK1	1.4854
RPSA	1.4849
C3	1.4841
ALG2	1.4833
C2orf69	1.4833
MT-TK	1.4829
ZMYM3	1.4798
TFRC	1.4773
SLC25A4	1.4765
TWNK	1.4765
ALPL	1.4759
COX4I2	1.4758
BMP6	1.4754
KANSL1	1.472
SLC26A4	1.4718
NKX2-1	1.4718
TSHR	1.4718
PAX8	1.4718
EXT1	1.4707
RAD21	1.4707
KDM1A	1.4693
COG8	1.4693
KCNJ11	1.4691
ABCC8	1.4691
MTX2	1.4691
PI4KA	1.4676
COG5	1.4673
ABCA12	1.4673
FGFR1	1.4661
GLI2	1.4661
SOX2	1.4661
RPS14	1.4644
XIAP	1.4633
MAGT1	1.4633
CBS	1.4625
ALG13	1.4625
BMP4	1.462
TRPS1	1.462
LCP2	1.4614
RAPSN	1.4574
SLC3A1	1.4574
SLC18A3	1.4574
PREPL	1.4574
MYT1L	1.4574
AGGF1	1.4561
PLCG1	1.4557
GTF2H5	1.4536
NPHP1	1.4509
RECQL4	1.4509
SHPK	1.4509
MTOR	1.4483
HLCS	1.4483
CTCF	1.4448
DOCK8	1.4448
SLC34A2	1.4437
ADAMTS13	1.4428
AFG2A	1.4396
C1QBP	1.4391
GDF2	1.439
MINPP1	1.4383
ALDH4A1	1.4352
FGA	1.435
DDRGK1	1.4331
TRIO	1.427
SLC35A1	1.4242
DNASE2	1.424
PEX13	1.424
POLR3GL	1.4232
PUF60	1.4227
SIK3	1.4227
FGB	1.4218
FGG	1.4218
CFB	1.4208
CYP11B2	1.42
VDR	1.4191
PHIP	1.4182
SH2D1A	1.4167
WDR1	1.4167
FOXA2	1.4158
OTX2	1.4158
PPP2R5D	1.4158
SOX3	1.4158
ARNT2	1.4158
PROKR2	1.4158
SYNJ1	1.4145
ASCC3	1.4145
INS	1.4123
PDX1	1.4123
CYP19A1	1.4113
PTF1A	1.4043
NOS3	1.4018
AGA	1.4003
GPC4	1.4003
NAE1	1.4003
ADAMTS3	1.4003
MICU1	1.4003
DYNC2LI1	1.4003
ALG1	1.4003
FAT4	1.4003
CCBE1	1.4003
ACTN1	1.4001
RAB27A	1.3998
TMEM237	1.3991
WARS2	1.398
NFKB1	1.397
CDC40	1.397
SLF2	1.397
ERCC6L2	1.397
STT3B	1.3967
HEXB	1.394
SEC23B	1.3939
RNF31	1.3939
CDIN1	1.3939
CDAN1	1.3939
CHMP2B	1.3928
CREBBP	1.3871
CTBP1	1.3871
EP300	1.3871
LETM1	1.3871
NSD2	1.3871
SETBP1	1.3871
DMP1	1.384
STXBP1	1.3839
CHST14	1.3836
FTL	1.3829
TRHR	1.3822
GLRX5	1.3814
G6PC1	1.3806
PEX12	1.3806
GLE1	1.3803
CHCHD10	1.3803
MORC2	1.3794
SELENON	1.3794
EPHB2	1.3776
ITGA2	1.3776
ANKRD26	1.3776
CD109	1.3776
F2	1.3775
JAK1	1.3774
B4GALT1	1.3731
HSD3B7	1.3731
UROD	1.3698
EXTL3	1.3686
PEX1	1.3686
PEX6	1.3686
PEX5	1.3686
PIGL	1.3686
WDR19	1.3686
KCNJ1	1.3671
ARSB	1.3663
BMP2	1.3663
MIF	1.3663
GALT	1.3622
XRCC4	1.3622
EIF2AK3	1.3622
FBXL4	1.3622
SLC35C1	1.3622
ATP6V1A	1.3612
ATP6V1E1	1.3612
BGN	1.3612
DST	1.3612
NFIX	1.3612
PRKACA	1.3612
PYCR1	1.3612
SPARC	1.3612
ADAMTS2	1.3612
IPO8	1.3612
ATP6V0A2	1.3612
TAOK1	1.3612
XYLT2	1.3612
LRRC8C	1.3612
CREB3L1	1.3612
SLC39A13	1.3612
B3GALT6	1.3612
NCF2	1.3611
THBD	1.3592
PSMG2	1.3578
COX10	1.3547
IL2RG	1.3547
PSMB10	1.3547
ABCD3	1.3547
TPI1	1.3547
UMPS	1.3547
SLC39A7	1.3539
SEL1L	1.3529
TBX2	1.3529
EPG5	1.3529
ARL6IP6	1.3509
SRP68	1.3505
DGKE	1.3505
HSCB	1.3505
HSPG2	1.3498
HMGA2	1.3498
TPM3	1.349
HACD1	1.349
ARG1	1.3481
HNF1A	1.3481
PKLR	1.3473
AARS1	1.3428
CARS1	1.3428
GTF2E2	1.3428
PCNT	1.3428
PGM3	1.3428
TARS1	1.3428
RNF113A	1.3428
AMMECR1	1.3428
NCAPG2	1.3428
IARS2	1.3428
ANAPC1	1.3428
SRD5A3	1.3428
MPLKIP	1.3428
DCTN1	1.3425
NDUFAF6	1.3425
MPI	1.3414
AMACR	1.3414
CNTNAP2	1.3414
RHBDF2	1.3414
ANG	1.3412
ANXA11	1.3412
CCNF	1.3412
DAO	1.3412
ERBB4	1.3412
FUS	1.3412
NEFH	1.3412
PFN1	1.3412
PON1	1.3412
PON2	1.3412
PON3	1.3412
PRPH	1.3412
ATXN2	1.3412
SOD1	1.3412
TAF15	1.3412
VAPB	1.3412
MATR3	1.3412
OPTN	1.3412
PPARGC1A	1.3412
UNC13A	1.3412
TARDBP	1.3412
UBQLN2	1.3412
GLT8D1	1.3412
VPS13A	1.3406
ITGA7	1.3403
MAP3K20	1.3403
CEP57	1.3389
CD3D	1.3382
CD3E	1.3382
JAK3	1.3382
NR4A2	1.3379
DDOST	1.3362
ZPR1	1.3362
DCDC2	1.3349
CDKN1C	1.3346
LAMA5	1.3346
ANTXR1	1.3346
LAMB3	1.334
DRG1	1.334
TBCE	1.334
SLC30A7	1.334
BLM	1.3324
NPHP4	1.3298
DPM2	1.3294
F10	1.3243
SERPINE1	1.3243
HCK	1.3232
TKFC	1.323
LARS1	1.323
COA8	1.323
EFEMP1	1.322
KRT1	1.322
PLOD1	1.322
FZD4	1.322
USP8	1.322
ARFGEF2	1.322
NEDD4L	1.322
FKBP14	1.322
ERMARD	1.322
USP48	1.322
MITF	1.319
POLR3A	1.319
WWOX	1.319
SAR1B	1.3156
NSMCE2	1.3156
ELMO2	1.3156
SON	1.3117
NELFA	1.3117
NBAS	1.3117
PIGG	1.3117
NSD1	1.3117
RSPH9	1.3093
RSPH4A	1.3093
POMGNT1	1.3089
TRAC	1.3082
FOXN1	1.3074
MTR	1.3053
MTRR	1.3053
GTF2I	1.305
LIMK1	1.305
RFC2	1.305
STX1A	1.305
EIF4H	1.305
CLIP2	1.305
FKBP6	1.305
BAZ1B	1.305
GTF2IRD1	1.305
TBL2	1.305
GTF2IRD2	1.305
DNAJC30	1.305
BUD23	1.305
TMEM270	1.305
METTL27	1.305
VPS37D	1.305
NFKBIL1	1.3033
SLC22A4	1.3033
CD244	1.3033
TRIM32	1.3022
ZBTB7A	1.2932
TOR1A	1.2925
PRPS1	1.2912
THRA	1.2911
MAPK8IP3	1.2908
AHDC1	1.2908
FTH1	1.2906
THRB	1.2898
BRD4	1.2896
IL6	1.2884
PDE11A	1.2846
GFAP	1.2836
PPIL1	1.2824
